iter	Passed	Remaining
0	48	48110
1	49	24779
2	51	17196
3	53	13217
4	55	10953
5	61	10120
6	62	8872
7	63	7918
8	65	7157
9	66	6562
10	67	6048
11	68	5628
12	69	5266
13	70	4947
14	71	4683
15	72	4454
16	73	4248
17	74	4063
18	75	3901
19	76	3756
20	77	3620
21	78	3495
22	79	3382
23	80	3281
24	81	3190
25	82	3098
26	83	3017
27	85	2953
28	86	2885
29	87	2823
30	88	2763
31	89	2702
32	90	2647
33	91	2595
34	92	2550
35	93	2506
36	94	2463
37	95	2427
38	96	2388
39	97	2349
40	98	2312
41	99	2277
42	100	2246
43	101	2214
44	102	2184
45	103	2155
46	104	2128
47	106	2103
48	107	2078
49	108	2055
50	109	2030
51	110	2008
52	111	1987
53	112	1965
54	113	1947
55	114	1930
56	115	1913
57	116	1895
58	117	1877
59	118	1859
60	119	1842
61	120	1827
62	121	1812
63	122	1797
64	123	1779
65	124	1765
66	125	1750
67	126	1734
68	127	1723
69	128	1710
70	129	1695
71	130	1684
72	131	1672
73	132	1659
74	133	1648
75	134	1637
76	135	1626
77	136	1615
78	137	1605
79	138	1595
80	139	1586
81	140	1576
82	141	1562
83	142	1552
84	143	1543
85	144	1534
86	145	1524
87	146	1516
88	147	1509
89	148	1501
90	149	1495
91	150	1488
92	151	1480
93	152	1471
94	153	1464
95	154	1458
96	155	1450
97	156	1442
98	157	1436
99	159	1438
100	160	1431
101	161	1426
102	162	1418
103	163	1411
104	164	1404
105	165	1397
106	166	1392
107	167	1387
108	168	1380
109	169	1375
110	171	1369
111	172	1364
112	173	1359
113	174	1353
114	175	1348
115	176	1343
116	177	1336
117	177	1330
118	178	1325
119	179	1319
120	180	1314
121	181	1308
122	182	1303
123	183	1299
124	184	1294
125	185	1289
126	186	1283
127	187	1278
128	188	1274
129	189	1270
130	191	1267
131	192	1263
132	193	1259
133	194	1254
134	195	1249
135	196	1245
136	196	1240
137	197	1236
138	198	1231
139	199	1226
140	200	1224
141	201	1217
142	202	1213
143	203	1210
144	204	1206
145	205	1202
146	206	1198
147	207	1193
148	208	1191
149	209	1187
150	210	1184
151	211	1180
152	212	1176
153	213	1171
154	214	1168
155	215	1164
156	216	1161
157	217	1158
158	218	1154
159	219	1151
160	219	1146
161	221	1143
162	222	1140
163	222	1136
164	224	1134
165	225	1131
166	226	1127
167	227	1125
168	228	1121
169	228	1117
170	229	1114
171	230	1111
172	231	1108
173	232	1105
174	233	1102
175	234	1099
176	235	1096
177	236	1093
178	237	1090
179	238	1087
180	239	1085
181	240	1082
182	242	1081
183	243	1077
184	243	1074
185	245	1072
186	245	1069
187	246	1065
188	247	1062
189	248	1060
190	249	1057
191	250	1054
192	251	1051
193	252	1048
194	253	1045
195	254	1043
196	255	1040
197	256	1038
198	257	1035
199	258	1033
200	259	1030
201	260	1028
202	261	1025
203	262	1022
204	263	1020
205	263	1017
206	264	1014
207	265	1012
208	267	1010
209	267	1008
210	269	1006
211	270	1003
212	271	1002
213	272	999
214	273	997
215	274	995
216	275	992
217	275	989
218	276	987
219	277	985
220	278	983
221	280	981
222	281	979
223	282	977
224	282	974
225	283	972
226	284	970
227	285	968
228	286	965
229	287	963
230	288	961
231	289	959
232	290	957
233	291	955
234	292	953
235	293	951
236	294	949
237	295	946
238	296	944
239	297	942
240	298	939
241	299	937
242	300	935
243	301	933
244	302	931
245	303	929
246	304	928
247	305	925
248	306	923
249	307	922
250	308	919
251	309	917
252	310	915
253	311	914
254	312	912
255	313	909
256	314	908
257	315	906
258	315	903
259	316	902
260	317	900
261	318	898
262	319	896
263	321	895
264	322	893
265	323	891
266	324	889
267	324	887
268	325	885
269	326	883
270	327	881
271	328	879
272	329	877
273	330	875
274	331	873
275	332	871
276	333	869
277	334	868
278	335	866
279	336	864
280	337	863
281	338	861
282	339	860
283	340	858
284	341	856
285	342	854
286	343	853
287	344	851
288	345	850
289	346	848
290	347	847
291	348	845
292	349	844
293	350	842
294	351	840
295	352	839
296	354	837
297	355	836
298	356	834
299	356	832
300	357	830
301	358	829
302	359	827
303	360	825
304	361	824
305	362	822
306	363	820
307	364	818
308	365	817
309	366	815
310	367	813
311	368	811
312	369	810
313	371	811
314	372	810
315	374	809
316	375	809
317	376	808
318	377	806
319	378	805
320	379	803
321	380	802
322	381	800
323	383	799
324	383	797
325	384	795
326	386	794
327	387	793
328	388	792
329	389	790
330	390	789
331	391	787
332	392	786
333	393	784
334	394	782
335	395	781
336	396	779
337	397	777
338	398	776
339	399	774
340	400	773
341	401	771
342	402	770
343	402	768
344	404	767
345	405	766
346	406	764
347	407	762
348	407	760
349	408	759
350	409	757
351	410	755
352	411	754
353	412	753
354	413	751
355	414	749
356	415	748
357	416	747
358	417	745
359	418	744
360	419	742
361	420	741
362	422	740
363	423	739
364	424	737
365	425	736
366	426	734
367	427	733
368	428	731
369	428	730
370	430	729
371	431	727
372	432	726
373	433	724
374	433	723
375	434	721
376	435	719
377	436	718
378	437	717
379	438	716
380	440	714
381	441	713
382	442	712
383	442	710
384	444	709
385	445	707
386	446	706
387	447	705
388	448	703
389	449	703
390	450	702
391	452	701
392	452	699
393	453	698
394	454	696
395	455	695
396	456	693
397	457	692
398	458	690
399	459	689
400	460	687
401	461	686
402	462	685
403	463	684
404	464	682
405	465	681
406	466	680
407	467	678
408	468	677
409	469	676
410	470	674
411	471	673
412	472	671
413	473	670
414	474	669
415	475	667
416	476	666
417	477	665
418	478	663
419	479	662
420	480	661
421	481	659
422	482	658
423	483	657
424	484	655
425	485	654
426	486	652
427	487	651
428	488	650
429	489	648
430	490	647
431	491	646
432	492	644
433	493	643
434	494	642
435	495	641
436	496	640
437	497	638
438	498	637
439	499	636
440	500	634
441	501	633
442	502	632
443	503	630
444	504	629
445	505	627
446	506	626
447	507	625
448	508	624
449	509	623
450	510	621
451	511	620
452	512	618
453	513	617
454	514	616
455	515	614
456	516	613
457	517	612
458	518	611
459	519	609
460	520	608
461	521	607
462	522	606
463	523	605
464	524	603
465	525	602
466	526	601
467	527	599
468	528	598
469	529	597
470	530	596
471	531	594
472	532	593
473	533	591
474	534	590
475	535	589
476	536	588
477	537	586
478	538	585
479	539	584
480	540	583
481	541	582
482	542	580
483	544	579
484	544	578
485	546	577
486	546	576
487	548	574
488	549	573
489	550	572
490	551	571
491	552	569
492	553	568
493	553	567
494	554	566
495	555	564
496	556	563
497	557	562
498	558	561
499	559	559
500	560	558
501	561	557
502	562	555
503	563	554
504	564	553
505	565	552
506	566	550
507	567	549
508	568	548
509	569	547
510	570	546
511	571	544
512	572	543
513	573	542
514	574	541
515	575	539
516	576	538
517	577	537
518	578	536
519	579	535
520	580	533
521	581	532
522	582	531
523	583	529
524	584	528
525	585	527
526	586	526
527	587	525
528	588	524
529	589	522
530	590	521
531	591	520
532	592	518
533	593	518
534	594	516
535	595	515
536	596	514
537	598	513
538	599	512
539	600	511
540	601	510
541	602	508
542	603	507
543	604	506
544	605	505
545	606	504
546	607	503
547	608	502
548	609	500
549	610	499
550	611	498
551	612	497
552	613	495
553	614	494
554	615	493
555	616	492
556	617	490
557	618	489
558	619	488
559	620	487
560	621	486
561	622	484
562	622	483
563	624	482
564	625	481
565	626	480
566	627	478
567	628	477
568	629	476
569	630	475
570	631	474
571	632	473
572	633	471
573	634	470
574	635	469
575	636	468
576	637	467
577	638	466
578	639	465
579	640	463
580	641	462
581	642	461
582	643	460
583	644	459
584	645	457
585	646	456
586	647	455
587	648	454
588	649	452
589	650	451
590	651	450
591	652	449
592	654	449
593	655	447
594	656	446
595	657	445
596	658	444
597	659	443
598	660	442
599	661	440
600	662	439
601	663	438
602	664	437
603	664	435
604	665	434
605	666	433
606	667	432
607	668	431
608	669	430
609	670	428
610	671	427
611	672	426
612	673	425
613	674	424
614	675	422
615	676	421
616	677	420
617	678	419
618	679	418
619	680	417
620	681	416
621	682	414
622	683	413
623	684	412
624	685	411
625	686	410
626	687	409
627	688	407
628	689	406
629	690	405
630	691	404
631	692	403
632	693	402
633	694	401
634	696	400
635	696	398
636	697	397
637	698	396
638	700	395
639	700	394
640	701	393
641	702	391
642	704	390
643	704	389
644	706	388
645	707	387
